pinned_pr_start      00000000
start                00000028
g_copyr              00003000
nonpriv_page         00003000
__mulh               00003100
__mull               00003180
__divss              00003200
__divus              00003280
__quoss              00003300
__quous              00003380
cs                   000034A0
_clear_lock          000034A8
_check_lock          000034B0
cmp_swap_index       000034B8
g_ksrval             000034C0
Trconflag            000034C8
_system_configuration 000034E0
utrchook_sc_index    000035DC
__extension_status   000035E0
smcr_loadmod32_index 000035E4
smcr_loadmod64_index 000035E8
mcrload32_desc       000035EC
mcrload64_desc       000035F0
_system_TB_config    00003600
tod                  00003608
tb_tics_per_sec      00003618
tb_ns_per_tic        00003620
_clear_lock_mem      00003640
ARM_Trconflag        00003648
eprobe_table         00003650
syspmgr_gdata        00003658
skey_ukeys_pmask     00003660
svc_instruction      00003668
svc64_instruction    00003668
sc_ctrace_start_point 0000371C
ovlya_addr_sc_flih_main 00003720
sc_h_purr_point      0000378C
sc_dabr_clear_point  000037F0
sc_trace_start_point 000037F8
sc_audit_start_point 00003800
sc_msr_2_point       00003804
sc_entry_etrc_point  00003868
sc_exit_etrc_point   00003874
sc_trace_end_point   000038D8
set_smt_pri_syscall_ret 00003904
sc_msr_1_point       00003920
sc_debug_point       0000392C
sc_audit_end_point   00003930
sc_dabr_set_point    00003934
sc_ret_h_purr_point  00003978
sc_ctrace_end_point  000039C4
ovlya_addr_sc_ret    000039E4
sys_call_end         00003A4C
ovlya_addr_sc_call_sigslih 00003DE0
vrsave_patch_3       00003E74
csc_ret_h_purr_point 00003EA4
ovlya_addr_bad_sc    00003F58
sc_ctrace_start_fixup 00003F78
sc_ctrace_end_fixup  00003FE8
sc_audit_start_fixup 00004000
sc_trace_start_fixup 00004090
sc_audit_end_fixup   00004160
sc_trace_end_fixup   000041C4
sc_debug_fixup       0000421C
sc_msr_1_fixup       0000426C
sc_msr_2_fixup       00004280
sc_dabr_clear_fixup  00004294
sc_dabr_set_fixup    000042C8
sc_h_purr_fixup      00004390
sc_ret_h_purr_fixup  000043B4
csc_ret_h_purr_fixup 000043D4
sc_entry_etrc_fixup  000043E8
sc_exit_etrc_fixup   000044F8
set_smt_pri_kgetsig  00004678
kgetsig_h_purr_point 000046A0
ovlya_addr_kgetsig   0000473C
ovlya_addr_kgetsig64 000047D4
kgetsig_h_purr_fixup 0000482C
fpscrx_sc_index      00004868
utrchook             0000486C
_fp_fpscrx           00004878
_set_primxid         00004884
ktoc                 00005000
low_kervars_page     00005000
g_toc                00005004
key_unsafe_base      00005008
legacy_amr           00005010
tb_dec_10ms          00005028
ipl_cb               00005030
d_page_loops         00005038
i_page_loops         0000503C
purr_flag            00005040
spurr_version        00005044
r4_msr_hvbit         00005048
flih_kset            00005058
vm_pmap_kset         00005060
ld_fcn_array         00005068
_system_configuration_52S 00005C00
model_branch_table   00006000
ukeyset_activate     00008000
_tls_                00008080
